pincode,state,district,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,Migration_Score,Birth_Activity,Compliance_Gap
110085,DELHI,NORTH WEST DELHI,2154.0,484.0,69.0,5455.0,40820.0,12547.0,15199.0,40820.0,2154.0,-12063.0
110086,DELHI,NORTH WEST DELHI,2402.0,471.0,26.0,7494.0,48111.0,26574.0,39616.0,48111.0,2402.0,-26103.0
110087,DELHI,WEST DELHI,190.0,22.0,2.0,773.0,6048.0,2218.0,3361.0,6048.0,190.0,-2196.0
110088,DELHI,NORTH WEST DELHI,317.0,61.0,6.0,867.0,8122.0,4540.0,6333.0,8122.0,317.0,-4479.0
110089,DELHI,NORTH WEST DELHI,190.0,29.0,0.0,469.0,3937.0,2257.0,4199.0,3937.0,190.0,-2228.0
110090,DELHI,NORTH EAST DELHI,11.0,1.0,0.0,16.0,65.0,49.0,35.0,65.0,11.0,-48.0
110091,DELHI,EAST DELHI,1729.0,488.0,29.0,4722.0,38038.0,10958.0,13650.0,38038.0,1729.0,-10470.0
110092,DELHI,EAST DELHI,3405.0,1206.0,152.0,8020.0,56936.0,13321.0,15454.0,56936.0,3405.0,-12115.0
110093,DELHI,NORTH EAST DELHI,1151.0,293.0,6.0,5295.0,25818.0,18135.0,23764.0,25818.0,1151.0,-17842.0
110094,DELHI,NORTH EAST DELHI,5589.0,2705.0,48.0,18284.0,85189.0,31858.0,46907.0,85189.0,5589.0,-29153.0
110095,DELHI,EAST DELHI,1075.0,201.0,14.0,2160.0,10267.0,8229.0,10981.0,10267.0,1075.0,-8028.0
110096,DELHI,EAST DELHI,643.0,223.0,1.0,6484.0,26280.0,9761.0,8913.0,26280.0,643.0,-9538.0
121001,HARYANA,FARIDABAD,2530.0,537.0,62.0,3018.0,24936.0,11385.0,9338.0,24936.0,2530.0,-10848.0
121002,HARYANA,FARIDABAD,1062.0,333.0,40.0,2085.0,14064.0,5922.0,6900.0,14064.0,1062.0,-5589.0
121003,HARYANA,FARIDABAD,1148.0,443.0,53.0,1732.0,13602.0,5626.0,7314.0,13602.0,1148.0,-5183.0
121004,HARYANA,FARIDABAD,6507.0,1580.0,141.0,8934.0,58063.0,20234.0,20150.0,58063.0,6507.0,-18654.0
121005,HARYANA,FARIDABAD,625.0,128.0,4.0,2255.0,16451.0,7128.0,6208.0,16451.0,625.0,-7000.0
121006,HARYANA,FARIDABAD,172.0,33.0,7.0,503.0,3359.0,2012.0,1895.0,3359.0,172.0,-1979.0
121007,HARYANA,FARIDABAD,76.0,11.0,8.0,141.0,1098.0,778.0,784.0,1098.0,76.0,-767.0
121008,HARYANA,FARIDABAD,47.0,12.0,1.0,110.0,915.0,594.0,726.0,915.0,47.0,-582.0
121009,HARYANA,FARIDABAD,90.0,33.0,3.0,114.0,1220.0,1132.0,1449.0,1220.0,90.0,-1099.0
121010,HARYANA,FARIDABAD,64.0,25.0,0.0,108.0,1454.0,513.0,607.0,1454.0,64.0,-488.0
121012,HARYANA,FARIDABAD,8.0,2.0,0.0,8.0,170.0,99.0,68.0,170.0,8.0,-97.0
121013,HARYANA,FARIDABAD,100.0,40.0,0.0,141.0,1285.0,1067.0,1545.0,1285.0,100.0,-1027.0
121014,HARYANA,FARIDABAD,2.0,2.0,0.0,5.0,70.0,5.0,9.0,70.0,2.0,-3.0
121101,HARYANA,FARIDABAD,242.0,56.0,4.0,690.0,4941.0,3031.0,3530.0,4941.0,242.0,-2975.0
121102,HARYANA,PALWAL,1626.0,119.0,2.0,3198.0,27030.0,12643.0,12025.0,27030.0,1626.0,-12524.0
121103,HARYANA,PALWAL,1252.0,108.0,0.0,1683.0,16308.0,6800.0,5539.0,16308.0,1252.0,-6692.0
121105,HARYANA,PALWAL,483.0,37.0,1.0,827.0,6995.0,3355.0,3025.0,6995.0,483.0,-3318.0
121106,HARYANA,PALWAL,571.0,24.0,1.0,814.0,6024.0,4541.0,4434.0,6024.0,571.0,-4517.0
121107,HARYANA,PALWAL,369.0,34.0,0.0,653.0,4519.0,2728.0,2509.0,4519.0,369.0,-2694.0
121705,UTTAR PRADESH,MAU,78.0,119.0,0.0,477.0,2529.0,1334.0,858.0,2529.0,78.0,-1215.0
122001,HARYANA,GURGAON,3416.0,1066.0,161.0,4776.0,34948.0,11213.0,10980.0,34948.0,3416.0,-10147.0
122002,HARYANA,GURGAON,377.0,187.0,137.0,859.0,8671.0,1055.0,1336.0,8671.0,377.0,-868.0
122003,HARYANA,GURGAON,169.0,35.0,7.0,296.0,3002.0,1147.0,1291.0,3002.0,169.0,-1112.0
122004,HARYANA,GURGAON,375.0,100.0,15.0,810.0,6603.0,1647.0,1614.0,6603.0,375.0,-1547.0
122005,HARYANA,GURGAON,8.0,2.0,2.0,9.0,65.0,9.0,8.0,65.0,8.0,-7.0
122006,HARYANA,GURGAON,128.0,18.0,1.0,276.0,2436.0,779.0,865.0,2436.0,128.0,-761.0
122007,HARYANA,GURGAON,0.0,0.0,0.0,1.0,28.0,11.0,9.0,28.0,0.0,-11.0
122008,HARYANA,GURGAON,5.0,1.0,1.0,4.0,63.0,4.0,11.0,63.0,5.0,-3.0
122009,HARYANA,GURGAON,30.0,11.0,17.0,90.0,1253.0,318.0,415.0,1253.0,30.0,-307.0
122010,HARYANA,GURGAON,3.0,4.0,1.0,9.0,108.0,13.0,13.0,108.0,3.0,-9.0
122011,HARYANA,GURGAON,53.0,18.0,15.0,132.0,1308.0,584.0,487.0,1308.0,53.0,-566.0
122015,HARYANA,GURGAON,36.0,9.0,1.0,58.0,549.0,317.0,321.0,549.0,36.0,-308.0
122016,HARYANA,GURGAON,22.0,6.0,2.0,31.0,290.0,251.0,288.0,290.0,22.0,-245.0
122017,HARYANA,GURGAON,181.0,66.0,6.0,765.0,6245.0,1404.0,1433.0,6245.0,181.0,-1338.0
122018,HARYANA,GURGAON,137.0,32.0,7.0,444.0,3311.0,942.0,947.0,3311.0,137.0,-910.0
122051,HARYANA,GURGAON,54.0,10.0,1.0,38.0,390.0,414.0,452.0,390.0,54.0,-404.0
122052,HARYANA,GURGAON,8.0,3.0,0.0,15.0,183.0,63.0,66.0,183.0,8.0,-60.0
122098,HARYANA,GURGAON,4.0,0.0,1.0,7.0,72.0,2.0,2.0,72.0,4.0,-2.0
122101,HARYANA,GURGAON,220.0,52.0,5.0,1018.0,7726.0,1444.0,1922.0,7726.0,220.0,-1392.0
122102,HARYANA,GURGAON,244.0,54.0,11.0,309.0,2021.0,1704.0,1659.0,2021.0,244.0,-1650.0
122103,HARYANA,MEWAT,1182.0,141.0,11.0,1366.0,10267.0,5865.0,4383.0,10267.0,1182.0,-5724.0
122104,HARYANA,MEWAT,724.0,46.0,2.0,644.0,6095.0,4848.0,3486.0,6095.0,724.0,-4802.0
122105,HARYANA,MEWAT,530.0,26.0,0.0,545.0,4689.0,5844.0,5280.0,4689.0,530.0,-5818.0
122107,HARYANA,MEWAT,1009.0,87.0,0.0,1096.0,8890.0,6559.0,5196.0,8890.0,1009.0,-6472.0
122108,HARYANA,MEWAT,1211.0,115.0,17.0,836.0,8037.0,5541.0,4723.0,8037.0,1211.0,-5426.0
122413,HARYANA,GURGAON,133.0,13.0,0.0,253.0,1615.0,1188.0,1448.0,1615.0,133.0,-1175.0
122414,HARYANA,GURGAON,92.0,4.0,0.0,95.0,734.0,991.0,979.0,734.0,92.0,-987.0
122502,HARYANA,GURGAON,101.0,5.0,0.0,140.0,835.0,1168.0,1144.0,835.0,101.0,-1163.0
122503,HARYANA,GURGAON,190.0,10.0,0.0,353.0,2587.0,2185.0,1695.0,2587.0,190.0,-2175.0
122504,HARYANA,GURGAON,135.0,8.0,0.0,107.0,850.0,1089.0,1051.0,850.0,135.0,-1081.0
122505,HARYANA,GURGAON,228.0,52.0,1.0,1251.0,9530.0,1793.0,1571.0,9530.0,228.0,-1741.0
122506,HARYANA,GURGAON,185.0,11.0,1.0,306.0,2339.0,1379.0,1376.0,2339.0,185.0,-1368.0
122508,HARYANA,MEWAT,4326.0,454.0,42.0,3024.0,30757.0,12382.0,9775.0,30757.0,4326.0,-11928.0
123001,HARYANA,MAHENDRAGARH,822.0,38.0,10.0,1067.0,8847.0,6274.0,7364.0,8847.0,822.0,-6236.0
123021,HARYANA,MAHENDRAGARH,303.0,14.0,0.0,520.0,4451.0,2604.0,3632.0,4451.0,303.0,-2590.0
123023,HARYANA,MAHENDRAGARH,360.0,54.0,0.0,203.0,2287.0,3012.0,3780.0,2287.0,360.0,-2958.0
123024,HARYANA,MAHENDRAGARH,149.0,10.0,0.0,124.0,1182.0,1325.0,2037.0,1182.0,149.0,-1315.0
123027,HARYANA,MAHENDRAGARH,308.0,14.0,0.0,576.0,3147.0,2126.0,3118.0,3147.0,308.0,-2112.0
123028,HARYANA,MAHENDRAGARH,118.0,5.0,2.0,56.0,533.0,755.0,1152.0,533.0,118.0,-750.0
123029,HARYANA,MAHENDRAGARH,368.0,14.0,8.0,402.0,4176.0,3181.0,5143.0,4176.0,368.0,-3167.0
123034,HARYANA,MAHENDRAGARH,148.0,6.0,4.0,156.0,809.0,1224.0,2108.0,809.0,148.0,-1218.0
123035,HARYANA,REWARI,121.0,2.0,0.0,51.0,571.0,1016.0,1075.0,571.0,121.0,-1014.0
123101,HARYANA,REWARI,85.0,3.0,0.0,223.0,1466.0,1249.0,1095.0,1466.0,85.0,-1246.0
123102,HARYANA,REWARI,93.0,1.0,2.0,98.0,635.0,1081.0,1477.0,635.0,93.0,-1080.0
123103,HARYANA,REWARI,70.0,5.0,0.0,67.0,417.0,696.0,812.0,417.0,70.0,-691.0
123106,HARYANA,REWARI,174.0,29.0,1.0,764.0,4691.0,2439.0,1794.0,4691.0,174.0,-2410.0
123110,HARYANA,REWARI,19.0,4.0,0.0,27.0,207.0,344.0,288.0,207.0,19.0,-340.0
123301,HARYANA,REWARI,70.0,5.0,0.0,119.0,576.0,604.0,564.0,576.0,70.0,-599.0
123302,HARYANA,REWARI,126.0,7.0,0.0,151.0,808.0,1484.0,1443.0,808.0,126.0,-1477.0
123303,HARYANA,REWARI,126.0,3.0,0.0,148.0,1079.0,1388.0,1566.0,1079.0,126.0,-1385.0
123304,HARYANA,REWARI,0.0,0.0,0.0,4.0,12.0,0.0,0.0,12.0,0.0,0.0
123401,HARYANA,REWARI,834.0,49.0,1.0,3528.0,20623.0,8898.0,9324.0,20623.0,834.0,-8849.0
123411,HARYANA,REWARI,222.0,4.0,0.0,419.0,2544.0,2049.0,2148.0,2544.0,222.0,-2045.0
123412,HARYANA,REWARI,61.0,5.0,0.0,51.0,362.0,547.0,508.0,362.0,61.0,-542.0
123501,HARYANA,REWARI,272.0,22.0,2.0,466.0,3342.0,2552.0,2026.0,3342.0,272.0,-2530.0
124001,HARYANA,ROHTAK,1528.0,133.0,59.0,2376.0,11651.0,11669.0,21758.0,11651.0,1528.0,-11536.0
124021,HARYANA,ROHTAK,126.0,3.0,1.0,84.0,564.0,1034.0,2046.0,564.0,126.0,-1031.0
124022,HARYANA,ROHTAK,56.0,2.0,0.0,27.0,178.0,507.0,1143.0,178.0,56.0,-505.0
124102,HARYANA,JHAJJAR,91.0,1.0,0.0,37.0,301.0,540.0,1294.0,301.0,91.0,-539.0
124103,HARYANA,JHAJJAR,398.0,10.0,0.0,540.0,5178.0,3549.0,4074.0,5178.0,398.0,-3539.0
124104,HARYANA,JHAJJAR,97.0,7.0,0.0,45.0,391.0,788.0,946.0,391.0,97.0,-781.0
124105,HARYANA,JHAJJAR,128.0,2.0,0.0,141.0,991.0,1306.0,1258.0,991.0,128.0,-1304.0
124106,HARYANA,JHAJJAR,139.0,7.0,0.0,92.0,949.0,1626.0,2500.0,949.0,139.0,-1619.0
124107,HARYANA,JHAJJAR,112.0,2.0,0.0,43.0,447.0,715.0,1458.0,447.0,112.0,-713.0
124108,HARYANA,JHAJJAR,169.0,3.0,0.0,102.0,920.0,1291.0,1427.0,920.0,169.0,-1288.0
124109,HARYANA,JHAJJAR,133.0,10.0,0.0,69.0,539.0,1251.0,1840.0,539.0,133.0,-1241.0
124111,HARYANA,ROHTAK,115.0,1.0,0.0,113.0,645.0,956.0,2208.0,645.0,115.0,-955.0
124112,HARYANA,ROHTAK,291.0,4.0,0.0,455.0,2294.0,2521.0,5261.0,2294.0,291.0,-2517.0
124113,HARYANA,ROHTAK,121.0,6.0,0.0,160.0,926.0,1242.0,2957.0,926.0,121.0,-1236.0
124142,HARYANA,JHAJJAR,51.0,1.0,0.0,70.0,527.0,652.0,678.0,527.0,51.0,-651.0
124146,HARYANA,JHAJJAR,82.0,2.0,0.0,66.0,469.0,1077.0,1842.0,469.0,82.0,-1075.0
124201,HARYANA,JHAJJAR,86.0,0.0,0.0,17.0,166.0,903.0,2236.0,166.0,86.0,-903.0
124202,HARYANA,JHAJJAR,90.0,3.0,0.0,24.0,226.0,792.0,1658.0,226.0,90.0,-789.0
124303,HARYANA,ROHTAK,103.0,3.0,0.0,131.0,679.0,997.0,1857.0,679.0,103.0,-994.0
124401,HARYANA,ROHTAK,142.0,11.0,0.0,159.0,860.0,1079.0,2138.0,860.0,142.0,-1068.0
124404,HARYANA,ROHTAK,31.0,2.0,0.0,20.0,163.0,301.0,514.0,163.0,31.0,-299.0
124406,HARYANA,ROHTAK,68.0,1.0,1.0,48.0,400.0,341.0,663.0,400.0,68.0,-340.0
124411,HARYANA,ROHTAK,72.0,1.0,0.0,37.0,179.0,670.0,1481.0,179.0,72.0,-669.0
124412,HARYANA,ROHTAK,79.0,4.0,0.0,65.0,305.0,778.0,1639.0,305.0,79.0,-774.0
124501,HARYANA,ROHTAK,295.0,16.0,0.0,268.0,2351.0,2439.0,3954.0,2351.0,295.0,-2423.0
124504,HARYANA,JHAJJAR,56.0,2.0,0.0,24.0,225.0,371.0,543.0,225.0,56.0,-369.0
124505,HARYANA,JHAJJAR,74.0,2.0,0.0,51.0,602.0,839.0,902.0,602.0,74.0,-837.0
124506,HARYANA,JHAJJAR,27.0,1.0,0.0,12.0,144.0,372.0,380.0,144.0,27.0,-371.0
124507,HARYANA,JHAJJAR,698.0,40.0,10.0,2394.0,16218.0,8025.0,7705.0,16218.0,698.0,-7985.0
124513,HARYANA,ROHTAK,46.0,2.0,0.0,20.0,202.0,428.0,619.0,202.0,46.0,-426.0
124514,HARYANA,ROHTAK,172.0,9.0,0.0,225.0,1310.0,1558.0,3013.0,1310.0,172.0,-1549.0
125001,HARYANA,HISAR,1651.0,141.0,11.0,2089.0,14467.0,16841.0,17747.0,14467.0,1651.0,-16700.0
125004,HARYANA,HISAR,114.0,4.0,0.0,104.0,844.0,1459.0,1848.0,844.0,114.0,-1455.0
125005,HARYANA,HISAR,92.0,8.0,0.0,76.0,643.0,868.0,1187.0,643.0,92.0,-860.0
125006,HARYANA,HISAR,82.0,6.0,0.0,43.0,318.0,779.0,808.0,318.0,82.0,-773.0
125011,HARYANA,HISAR,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0
125033,HARYANA,HISAR,689.0,23.0,4.0,1436.0,12704.0,8161.0,9134.0,12704.0,689.0,-8138.0
125037,HARYANA,HISAR,29.0,4.0,0.0,25.0,204.0,422.0,682.0,204.0,29.0,-418.0
125038,HARYANA,HISAR,73.0,1.0,0.0,82.0,752.0,738.0,1100.0,752.0,73.0,-737.0
125039,HARYANA,HISAR,308.0,7.0,1.0,626.0,6127.0,3496.0,4704.0,6127.0,308.0,-3489.0
125042,HARYANA,HISAR,167.0,5.0,0.0,127.0,1237.0,1863.0,2663.0,1237.0,167.0,-1858.0
125044,HARYANA,HISAR,161.0,7.0,0.0,255.0,1449.0,1302.0,1726.0,1449.0,161.0,-1295.0
125047,HARYANA,HISAR,223.0,14.0,1.0,169.0,1546.0,2254.0,2605.0,1546.0,223.0,-2240.0
125048,HARYANA,FATEHABAD,126.0,4.0,0.0,58.0,469.0,1317.0,2368.0,469.0,126.0,-1313.0
125049,HARYANA,HISAR,128.0,4.0,2.0,109.0,872.0,1260.0,1769.0,872.0,128.0,-1256.0
125050,HARYANA,FATEHABAD,580.0,26.0,2.0,1698.0,12395.0,7224.0,7906.0,12395.0,580.0,-7198.0
125051,HARYANA,FATEHABAD,500.0,16.0,0.0,1123.0,11209.0,7620.0,8680.0,11209.0,500.0,-7604.0
125052,HARYANA,HISAR,421.0,22.0,0.0,638.0,5596.0,5159.0,5736.0,5596.0,421.0,-5137.0
125053,HARYANA,FATEHABAD,217.0,15.0,0.0,242.0,2322.0,2461.0,3747.0,2322.0,217.0,-2446.0
125054,HARYANA,SIRSA,62.0,2.0,0.0,37.0,420.0,638.0,758.0,420.0,62.0,-636.0
125055,HARYANA,SIRSA,994.0,66.0,2.0,2123.0,20526.0,13975.0,17340.0,20526.0,994.0,-13909.0
125058,HARYANA,SIRSA,30.0,8.0,0.0,61.0,454.0,672.0,736.0,454.0,30.0,-664.0
